algorithm,access_pattern,cores, runtime test 0 [s], runtime test 1 [s], runtime test 2 [s], runtime test 3 [s], runtime test 4 [s], runtime test 5 [s], runtime test 6 [s], runtime test 7 [s], runtime test 8 [s], runtime test 9 [s], runtime test 10 [s], runtime test 11 [s], runtime test 12 [s], runtime test 13 [s], runtime test 14 [s], runtime test 15 [s], runtime test 16 [s], runtime test 17 [s], runtime test 18 [s], runtime test 19 [s]
sequential_two_lattice,collision,1,31.505638,31.486670,31.616341,31.701147,31.524033,31.591306,31.360172,31.544935,31.822986,31.645448,31.421300,31.644045,31.584052,31.418698,31.695064,31.526154,31.751893,31.363474,31.691551,31.466760
sequential_two_lattice,stream,1,31.798878,31.805617,31.594339,31.671190,31.752824,31.591623,31.860989,31.760259,31.577073,31.926940,31.804909,31.794392,31.878534,31.861449,31.714372,31.913205,31.874152,31.548053,31.567711,31.577811
sequential_two_lattice,bundle,1,31.762976,31.681744,31.752888,31.762748,31.676249,31.662673,31.631702,32.576977,31.874283,31.556146,31.573358,31.508295,31.727106,31.604829,31.722647,31.624298,32.033246,31.719217,31.893676,31.684165
sequential_two_step,collision,1,30.685445,30.821467,30.894707,30.859773,31.238113,31.059802,30.881465,30.845649,30.936904,30.962274,31.092304,31.236232,30.948141,30.973411,31.128853,31.079617,30.965718,30.766445,30.871928,30.957922
sequential_two_step,stream,1,30.942649,31.029055,31.019073,30.824909,31.189715,31.034510,31.099802,31.010904,31.416454,31.091856,31.014238,31.098721,30.872327,31.226428,31.073039,31.221755,30.954414,30.945348,30.967176,30.922889
sequential_two_step,bundle,1,31.167891,30.917690,31.269966,31.279931,30.907176,31.168755,31.032159,30.989597,31.283452,30.934547,30.857335,31.214733,31.260574,30.979774,31.158396,31.125078,31.139795,30.914639,31.399339,31.004270
sequential_swap,collision,1,32.133578,32.224714,32.027121,32.065683,32.349819,32.133201,32.107686,32.035822,32.182544,32.096079,32.093751,32.014467,32.139057,31.836748,32.053799,32.056090,32.031158,31.962210,32.166398,31.996829
sequential_swap,stream,1,32.014024,32.173644,32.053559,32.207885,32.256330,32.095361,32.036742,32.076693,32.217555,32.217358,32.209057,32.230193,32.076273,32.212259,32.200082,32.049074,31.926955,32.083795,31.980070,32.132368
sequential_swap,bundle,1,32.265966,32.053920,32.393797,32.275079,32.369749,32.304345,32.103676,32.190363,32.188841,32.227640,32.198312,32.248812,32.155354,32.245609,32.157195,32.262857,32.298710,32.306855,32.257040,32.299990
sequential_shift,collision,1,31.667515,31.550802,31.802575,31.712077,31.765934,31.680354,31.650444,31.500158,31.770262,31.758011,31.630036,31.537993,31.543086,31.540609,31.574188,31.624038,31.788830,31.438953,31.621451,31.792214
sequential_shift,stream,1,31.859925,31.803924,31.837126,31.731515,31.849961,31.974417,31.730583,31.889160,31.837683,31.692657,31.810931,31.774819,31.749505,31.861337,31.843653,31.728052,32.088590,31.669727,31.762364,31.791608
sequential_shift,bundle,1,31.781374,31.794350,31.801158,31.910926,31.930126,31.864938,31.738278,31.915954,31.786377,31.869392,31.796542,31.917506,31.926900,31.845426,31.928912,31.793406,31.715406,31.908354,31.762077,31.817049
