algorithm,access_pattern,cores, runtime test 0 [s]
sequential_two_lattice,collision,1,2.388582
sequential_two_lattice,stream,1,2.390726
sequential_two_lattice,bundle,1,2.372634
sequential_two_step,collision,1,2.351244
sequential_two_step,stream,1,2.382518
sequential_two_step,bundle,1,2.335912
sequential_swap,collision,1,2.415639
sequential_swap,stream,1,2.437330
sequential_swap,bundle,1,2.436762
sequential_shift,collision,1,2.411263
sequential_shift,stream,1,2.390991
sequential_shift,bundle,1,2.403025
parallel_two_lattice,collision,2,2.104783
parallel_two_lattice,collision,4,2.169356
parallel_two_lattice,collision,8,2.399400
parallel_two_lattice,collision,16,2.745506
parallel_two_lattice,collision,32,3.181881
parallel_two_lattice,collision,64,4.743794
parallel_two_lattice,stream,2,2.101331
parallel_two_lattice,stream,4,2.183677
parallel_two_lattice,stream,8,2.411523
parallel_two_lattice,stream,16,2.627332
parallel_two_lattice,stream,32,3.194627
parallel_two_lattice,stream,64,4.739558
parallel_two_lattice,bundle,2,2.095017
parallel_two_lattice,bundle,4,2.180324
parallel_two_lattice,bundle,8,2.392377
parallel_two_lattice,bundle,16,2.717004
parallel_two_lattice,bundle,32,3.188254
parallel_two_lattice,bundle,64,4.738704
parallel_two_lattice_framework,collision,2,2.075097
parallel_two_lattice_framework,collision,4,2.206590
parallel_two_lattice_framework,collision,8,2.370324
parallel_two_lattice_framework,collision,16,2.683676
parallel_two_lattice_framework,collision,32,3.285649
parallel_two_lattice_framework,collision,64,5.071018
parallel_two_lattice_framework,stream,2,2.073412
parallel_two_lattice_framework,stream,4,2.196142
parallel_two_lattice_framework,stream,8,2.422429
parallel_two_lattice_framework,stream,16,2.675309
parallel_two_lattice_framework,stream,32,3.297088
parallel_two_lattice_framework,stream,64,5.100062
parallel_two_lattice_framework,bundle,2,2.079181
parallel_two_lattice_framework,bundle,4,2.203707
parallel_two_lattice_framework,bundle,8,2.378006
parallel_two_lattice_framework,bundle,16,2.669809
parallel_two_lattice_framework,bundle,32,3.284259
parallel_two_lattice_framework,bundle,64,5.080652
parallel_two_step,collision,2,2.065114
parallel_two_step,collision,4,2.208774
parallel_two_step,collision,8,2.373354
parallel_two_step,collision,16,2.659812
parallel_two_step,collision,32,3.290262
parallel_two_step,collision,64,5.162632
parallel_two_step,stream,2,2.041034
parallel_two_step,stream,4,2.256871
parallel_two_step,stream,8,2.371963
parallel_two_step,stream,16,2.666464
parallel_two_step,stream,32,3.273169
parallel_two_step,stream,64,5.169618
parallel_two_step,bundle,2,2.032231
parallel_two_step,bundle,4,2.214561
parallel_two_step,bundle,8,2.443248
parallel_two_step,bundle,16,2.660387
parallel_two_step,bundle,32,3.283900
parallel_two_step,bundle,64,5.180093
parallel_swap,collision,2,2.101384
parallel_swap,collision,4,2.265448
parallel_swap,collision,8,2.421903
parallel_swap,collision,16,2.733781
parallel_swap,collision,32,3.488834
parallel_swap,collision,64,5.388360
parallel_swap,stream,2,2.101840
parallel_swap,stream,4,2.260294
parallel_swap,stream,8,2.539051
parallel_swap,stream,16,2.745175
parallel_swap,stream,32,3.971364
parallel_swap,stream,64,5.436650
parallel_swap,bundle,2,2.111290
parallel_swap,bundle,4,2.248816
parallel_swap,bundle,8,2.441859
parallel_swap,bundle,16,2.753269
parallel_swap,bundle,32,3.959228
parallel_swap,bundle,64,5.468201
parallel_shift,collision,2,2.008337
parallel_shift,collision,4,2.135048
parallel_shift,collision,8,2.259077
parallel_shift,collision,16,2.500063
parallel_shift,collision,32,3.034511
parallel_shift,collision,64,4.655670
parallel_shift,stream,2,2.034550
parallel_shift,stream,4,2.129262
parallel_shift,stream,8,2.264365
parallel_shift,stream,16,2.506907
parallel_shift,stream,32,3.045182
parallel_shift,stream,64,5.205277
parallel_shift,bundle,2,2.017962
parallel_shift,bundle,4,2.130432
parallel_shift,bundle,8,2.264362
parallel_shift,bundle,16,2.515845
parallel_shift,bundle,32,3.058271
parallel_shift,bundle,64,5.168024
